iter	Passed	Remaining
0	219	219264
1	414	206615
2	672	223425
3	800	199400
4	946	188448
5	1209	200323
6	1421	201650
7	1726	214038
8	1849	203694
9	1982	196238
10	2103	189158
11	2227	183373
12	2344	178039
13	2480	174687
14	2597	170556
15	2711	166754
16	2864	165645
17	2996	163478
18	3130	161608
19	3261	159807
20	3391	158101
21	3537	157237
22	3659	155460
23	3821	155390
24	3957	154339
25	4078	152778
26	4206	151573
27	4320	149997
28	4456	149208
29	4589	148381
30	4716	147440
31	4854	146834
32	4981	145981
33	5142	146099
34	5289	145825
35	5447	145869
36	5653	147152
37	5808	147044
38	5957	146804
39	6093	146243
40	6277	146827
41	6497	148206
42	6615	147222
43	6784	147399
44	6932	147122
45	7073	146700
46	7242	146856
47	7376	146296
48	7503	145638
49	7639	145142
50	7789	144945
51	7895	143937
52	8129	145251
53	8340	146106
54	8533	146622
55	8667	146113
56	8745	144688
57	8817	143204
58	8890	141803
59	9058	141912
60	9183	141363
61	9353	141508
62	9493	141195
63	9621	140709
64	9755	140327
65	9917	140342
66	10051	139971
67	10192	139694
68	10475	141342
69	10582	140590
70	10669	139607
71	10756	138636
72	10832	137563
73	10909	136519
74	10985	135491
75	11049	134344
76	11113	133219
77	11177	132118
78	11238	131022
79	11321	130200
80	11383	129157
81	11448	128170
82	11528	127371
83	11594	126437
84	11651	125427
85	11713	124488
86	11772	123545
87	11830	122607
88	11901	121827
89	11960	120935
90	12020	120070
91	12078	119206
92	12137	118374
93	12195	117540
94	12252	116724
95	12313	115949
96	12373	115189
97	12430	114409
98	12488	113655
99	12552	112969
100	12610	112250
101	12672	111566
102	12729	110860
103	12796	110243
104	12858	109602
105	12915	108930
106	12974	108283
107	13034	107652
108	13092	107025
109	13151	106406
110	13207	105775
111	13270	105217
112	13328	104623
113	13393	104093
114	13456	103555
115	13514	102990
116	13588	102551
117	13660	102109
118	13718	101564
119	13786	101098
120	13842	100560
121	13901	100048
122	13961	99543
123	14019	99041
124	14077	98542
125	14135	98050
126	14193	97567
127	14257	97131
128	14316	96661
129	14379	96229
130	14442	95806
131	14507	95397
132	14583	95066
133	14650	94679
134	14733	94403
135	14803	94046
136	14871	93677
137	14933	93278
138	14992	92866
139	15049	92448
140	15116	92094
141	15181	91727
142	15239	91328
143	15297	90934
144	15357	90556
145	15417	90181
146	15473	89786
147	15534	89425
148	15594	89065
149	15656	88722
150	15716	88368
151	15773	88000
152	15833	87651
153	15891	87299
154	15951	86961
155	16013	86635
156	16072	86301
157	16143	86028
158	16206	85723
159	16282	85483
160	16342	85162
161	16404	84858
162	16464	84544
163	16524	84233
164	16586	83937
165	16648	83642
166	16706	83330
167	16766	83036
168	16826	82739
169	16887	82452
170	16948	82167
171	17007	81871
172	17066	81581
